"seed_ID","study_ID","year","long_cite","Study_type_.OR.R.","FYI...inclusion.notes","peer_reviewed","coder","expt_num","expt_condition","same_infant","response_mode","exposure_phase","method","dependent_measure","participant_design","native_lang","lang_used","infant_type","mean_age","stimulus_type_.M.A.","coding_type_.A.L.H.R.","p_ex","p_inc","p_t","p_ratio","data_approximated_.Y.N.","notes","ES_measure","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SE_1","SD_2","SE_2","t","binomial_two.tailed_test","F","reported_d","excel_calculated_d","diff_means"
"FBl","0 - FBl",2005,"Onishi, K.; Baillargeon, R. (2005). Do 15-Month-Old Infants Understand False Beliefs?. Nature","OR","","y",NA,"1","FB-green","","eye-tracking","","VOE","looking_time","between","","","",463.6,"M","L",14,56,70,0.8,"Y","only keep the FB conditions","sd_mean_diff","unexpected","expected",7,7,NA,NA,26.75,17.5,5.18567257,1.96,8.148914038,3.08,NA,NA,NA,NA,1.462846016,9.25
"FBl","0 - FBl",2005,"Onishi, K.; Baillargeon, R. (2005). Do 15-Month-Old Infants Understand False Beliefs?. Nature","OR","","y",NA,"1","FB-yellow","","eye-tracking","","VOE","looking_time","between","","","",463.6,"M","L",14,56,70,0.8,"Y","only keep the FB conditions","sd_mean_diff","unexpected","expected",7,7,NA,NA,19.83,10.83,5.18567257,1.96,4.735894847,1.79,NA,NA,NA,NA,1.957581303,9
"FBl","4 - FBl",2007,"Surian, L., Caldi, S., & Sperber, D. (2007). Attribution of beliefs by 13-month-old infants. Psychological Science, 18(7), 580–586. http://doi.org/10.1111/j.1467-9280.2007.01943.x","R","xp 1 ; xp 2","y",NA,"1","Not-seeing","","eye-tracking","","VOE","looking_time","between","","","",399.72,"A","R",8,56,64,0.875,"N","only keep the not-seing (FB) condition","sd_mean_diff","unexpected","expected",14,14,NA,NA,14.48,10.56,7.37,NA,7.56,NA,1.39,NA,NA,NA,0.5448957643,3.92
"FBl","4 - FBl",2007,"Surian, L., Caldi, S., & Sperber, D. (2007). Attribution of beliefs by 13-month-old infants. Psychological Science, 18(7), 580–586. http://doi.org/10.1111/j.1467-9280.2007.01943.x","R","","y",NA,"2","Not-knowing","","eye-tracking","","VOE","looking_time","between","","","",398.72,"A","R",7,54,61,0.8852459016,"N","only keep the not-knowing (FB) condition","sd_mean_diff","unexpected","expected",13,13,NA,NA,17.5,13.3,16,17.05425753,13.7,14.7106492,1.7,NA,NA,NA,0.2934982534,4.2
"FBl","3 - FBl",2008,"Song, H., & Baillargeon, R. (2008). Infants’ Reasoning About Others’ False Perceptions. Developmental Psychology, 44(6), 1789–1795. http://doi.org/10.1037/a0013774","R","xp 1 ","y",NA,"1","FB-doll","","eye-tracking","","VOE","looking_time","between","","","",440.16,"M","L",16,48,64,0.75,"Y","only keep the FB conditions","sd_mean_diff","unexpected","expected",6,6,NA,NA,25.56,12.09,5.927765178,2.42,3.159841768,1.29,NA,NA,19.49,2.76,3.106520569,13.47
"FBl","3 - FBl",2008,"Song, H., & Baillargeon, R. (2008). Infants’ Reasoning About Others’ False Perceptions. Developmental Psychology, 44(6), 1789–1795. http://doi.org/10.1037/a0013774","R","","y",NA,"1","FB-skunk","","eye-tracking","","VOE","looking_time","between","","","",440.16,"M","L",16,48,64,0.75,"Y","only keep the FB conditions","sd_mean_diff","unexpected","expected",6,6,NA,NA,21.53,14.11,7.495438613,3.06,5.315392742,2.17,NA,NA,7.9,1.33,1.250973968,7.42
"FBl","5 - FBl",2010,"Traeuble, B., Marinovic, V., & Pauen, S. (2010). Early Theory of Mind Competencies: Do Infants Understand Others’ Beliefs? Infancy, 15(4), 434–444. http://doi.org/10.1111/j.1532-7078.2009.00025.x","R","xp 1 note it is within subject","y",NA,"1","FB condition","","eye-tracking","","VOE","looking_time","within_two","","","",467.6,"M","R",7,36,43,0.8372093023,"Y","only keep the FB condition","sd_mean_diff","unexpected","expected",12,NA,NA,NA,17.84,16.39,1.939896904,0.56,3.048409421,0.88,-3,NA,NA,0.58,0.8865227283,1.45
"FBl","1 - FBl",2011,"Luo, Y. (2011). Do 10-month-old infants understand others’ false beliefs? Cognition, 121(3), 289–298. http://doi.org/10.1016/j.cognition.2011.07.011 ","R","xp 1 ; not xp 2 (relies on no attribution of belief)","y",NA,"1","FB-two-object","","eye-tracking","","VOE","looking_time","within_two","","","",307.44,"M","L",7,24,31,0.7741935484,"N","only keep the FB conditions","sd_mean_diff","unexpected","expected",12,NA,NA,NA,20,15.5,8.4,NA,6,NA,NA,NA,4.61,0.7,0.5729811454,4.5
"FBl","6 - FBl",2012,"Yott, J., & Poulin-Dubois, D. (2012). Breaking the rules: Do infants have a true understanding of false belief? British Journal of Developmental Psychology, 30(1), 156–171. http://doi.org/10.1111/j.2044-835X.2011.02060.x","R","xp 1 ; note that true location of the object is taught through habituation to a rule of relocation","y",NA,"1","FB task","","eye-tracking","","VOE","looking_time","between","","","",571.05,"M","L",22,48,70,0.6857142857,"N","only keep the FB task","sd_mean_diff","unexpected","expected",25,23,NA,NA,11.44,7.22,5.5,NA,3.73,NA,2.58,NA,NA,0.9,0.910071657,4.22
"FBl","2 - FBl",2013,"Poulin-Dubois, D., Polonia, A., & Yott, J. (2013). Is False Belief Skin-Deep? The Agent’s Eye Status Influences Infants’ Reasoning in Belief-Inducing Situations. Journal of Cognition and Development, 14(1), 87–99. http://doi.org/10.1080/15248372.2011.608198 ","R","not xp 1 (it is a control where the false belief of the actor is prevented because there is full visual access to the content of the boxes) ; include xp 2 ","y",NA,"2","","","eye-tracking","","VOE","looking_time","between","","","",445.64,"M","H",17,29,46,0.6304347826,"N","","sd_mean_diff","unexpected","expected",24,27,NA,NA,7.43,8.59,6.98,NA,6.05,NA,NA,NA,0.27,0.18,-0.1819799992,-1.16
