UniqueID,Bibliographical_reference,Source,Abstract_retrieved,Screening_decision,Fulltext_retrieved,Notes_fulltext_retrieved_status,Eligibility_decision,Notes_eligibility_decision,Quantitative_MA_Decision,Notes_quantitative_MA_Decision,Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers (DOI),Db,EntrezUID,Properties,Year,PubmedLink
0 - FBl,"Onishi, K.; Baillargeon, R. (2005). Do 15-Month-Old Infants Understand False Beliefs?. Nature",original study,yes,include,yes,,include,,include,means and SE provided,Do 15-Month-Old Infants Understand False Beliefs?,http://science.sciencemag.org/content/308/5719/255.full,"Onishi, K.; Baillargeon, R.",,,,,,,,,2005,
XFBl - 1,"Airenti, G., & Angeleri, R. (2011). Situation-sensitive use of insincerity: Pathways to communication in young children. British Journal of Developmental Psychology, 29(4), 765–782. http://doi.org/10.1348/2044-835X.002007",database_search,yes,x,,,,,,,Situation-sensitive use of insincerity: Pathways to communication in young children,,"Airenti, Gabriella; Angeleri, Romina",British Journal of Developmental Psychology,,,,10.1348/2044-835X.002007,,,,2011,
XFBl - 2,"Allen, J. W. P., & Bickhard, M. H. (2013a). Stepping off the pendulum: Why only an action-based approach can transcend the nativist-empiricist debate. Cognitive Development, 28(2), 96–133. http://doi.org/10.1016/j.cogdev.2013.01.002",database_search,no,x,,,,,,,Stepping off the pendulum: Why only an action-based approach can transcend the nativist-empiricist debate,,"Allen, Jedediah W. P.; Bickhard, Mark H.",Cognitive Development,,,,10.1016/j.cogdev.2013.01.002,,,,2013,
XFBl - 3,"Allen, J. W. P., & Bickhard, M. H. (2013b). The pendulum still swings. Cognitive Development, 28(2), 164–174. http://doi.org/10.1016/j.cogdev.2013.01.009 ",database_search,no,x,,,,,,,The pendulum still swings,,"Allen, Jedediah W. P.; Bickhard, Mark H.",Cognitive Development,,,,10.1016/j.cogdev.2013.01.009,,,,2013,
XFBl - 4,"Allen, J. W. P. (2015). How to help: Can more active behavioral measures help transcend the infant false-belief debate? New Ideas in Psychology, 39, 63–72. http://doi.org/10.1016/j.newideapsych.2015.07.008 ",database_search,yes,x,,,,,,,How to help: Can more active behavioral measures help transcend the infant false-belief debate?,,"Allen, Jedediah W. P.",New Ideas in Psychology,,,,10.1016/j.newideapsych.2015.07.008,,,,2015,
XFBl - 5,"Anderson, J. C. (2014). MISREADING LIKE A LAWYER: COGNITIVE BIAS IN STATUTORY INTERPRETATION. Harvard Law Review, 127(6), 1521–1592.",database_search,no,x,,,,,,,MISREADING LIKE A LAWYER: COGNITIVE BIAS IN STATUTORY INTERPRETATION,,"Anderson, Jill C.",Harvard Law Review,,,,,,,,2014,
XFBl - 6,"Andrews, K. (2012). Do Apes Read Minds?: Toward a New Folk Psychology.",database_search,no,x,,,,,,,Do Apes Read Minds?: Toward a New Folk Psychology,,"Andrews, K.",,,,,,,,,2012,
XFBl - 7,"Andrews, K. (2015). Animal Mind: An Introduction to the Philosophy of Animal Cognition. ",database_search,no,x,,,,,,,Animal Mind: An Introduction to the Philosophy of Animal Cognition,,"Andrews, K.",,,,,,,,,2015,
XFBl - 8,"Andrews, K. (2009). Understanding Norms Without a Theory of Mind. Inquiry-an Interdisciplinary Journal of Philosophy, 52(5), 433–448. http://doi.org/10.1080/00201740903302584 ",database_search,no,x,,,,,,,Understanding Norms Without a Theory of Mind,,"Andrews, Kristin",Inquiry-an Interdisciplinary Journal of Philosophy,,,,10.1080/00201740903302584,,,,2009,
XFBl - 9,"Apperly, I. (2011). Mindreaders: The Cognitive Basis of Theory of Mind.",database_search,yes,x,,,,,,,Mindreaders: The Cognitive Basis of Theory of Mind,,"Apperly, I.",,,,,,,,,2011,
XFBl - 10,"Apperly, I. A., & Butterfill, S. A. (2009). Do Humans Have Two Systems to Track Beliefs and Belief-Like States? Psychological Review, 116(4), 953–970. http://doi.org/10.1037/a0016923",database_search,yes,x,,,,,,,Do Humans Have Two Systems to Track Beliefs and Belief-Like States?,,"Apperly, Ian A.; Butterfill, Stephen A.",Psychological Review,,,,10.1037/a0016923,,,,2009,
XFBl - 11,"Apperly, I. A., Carroll, D. J., Samson, D., Humphreys, G. W., Qureshi, A., & Moffitt, G. (2010). Why are there limits on theory of mind use? Evidence from adults’ ability to follow instructions from an ignorant speaker. Quarterly Journal of Experimental Psychology, 63(6), 1201–1217. http://doi.org/10.1080/17470210903281582 ",database_search,no,x,,,,,,,Why are there limits on theory of mind use? Evidence from adults' ability to follow instructions from an ignorant speaker,,"Apperly, Ian A.; Carroll, Daniel J.; Samson, Dana; Humphreys, Glyn W.; Qureshi, Adam; Moffitt, Graham",Quarterly Journal of Experimental Psychology,,,,10.1080/17470210903281582,,,,2010,
XFBl - 12,"Apperly, I. A., Riggs, K. J., Simpson, A., Chiavarino, C., & Samson, D. (2006). Is belief reasoning automatic? Psychological Science, 17(10), 841–844. http://doi.org/10.1111/j.1467-9280.2006.01791.x ",database_search,yes,x,,,,,,,Is belief reasoning automatic?,,"Apperly, Ian A.; Riggs, Kevin J.; Simpson, Andrew; Chiavarino, Claudia; Samson, Dana",Psychological Science,,,,10.1111/j.1467-9280.2006.01791.x,,,,2006,
