UniqueID,Bibliographical_reference,Source,Abstract_retrieved,Screening_decision,Fulltext_retrieved,Notes_fulltext_retrieved_status,Eligibility_decision,Notes_eligibility_decision,Quantitative_MA_Decision,Notes_quantitative_MA_Decision,Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers (DOI),Db,EntrezUID,Properties,Year,PubmedLink
0 - GrSoc,"Hamlin, J. K., Wynn, K., & Bloom, P. (2007). Social evaluation by preverbal infants. Nature, 450(7169), 557–U13. http://doi.org/10.1038/nature06288",original,yes,include,yes,,include,xp 1 ; not xp 2 (no social interaction) ; xp 3 (but note is compares with a neutral),include,data is provided in terms of Odds Ratio (yes/no data),Social evaluation by preverbal infants.,http://www.nature.com/nature/journal/v450/n7169/full/nature06288.html,"Hamlin, J. K., Wynn, K., & Bloom, P.",Nature,,,,http://doi.org/10.1038/nature06288,,,,2007,
X-GrSoc 1,"Airenti, G. (2015). The Cognitive Bases of Anthropomorphism: From Relatedness to Empathy. International Journal of Social Robotics, 7(1), 117–127. http://doi.org/10.1007/s12369-014-0263-x",database_search,yes,x,,,,,,,The Cognitive Bases of Anthropomorphism: From Relatedness to Empathy,,"Airenti, Gabriella",The Cognitive Bases of Anthropomorphism: From Relatedness to Empathy,,,,10.1007/s12369-014-0263-x,,,,2015,
X-GrSoc 2,"Aknin, L. B., Hamlin, J. K., & Dunn, E. W. (2012). Giving Leads to Happiness in Young Children. Plos One, 7(6), e39211. http://doi.org/10.1371/journal.pone.0039211",database_search,yes,x,,,,,,,Giving Leads to Happiness in Young Children,,"Aknin, Lara B.; Hamlin, J. Kiley; Dunn, Elizabeth W.",Giving Leads to Happiness in Young Children,,,,10.1371/journal.pone.0039211,,,,2012,
X-GrSoc 3,"Amici, F. (2015). The evolution and development of human cooperation. Interaction Studies, 16(3), 383–418. http://doi.org/10.1075/is.16.3.03ami",database_search,yes,x,,,,,,,The evolution and development of human cooperation,,"Amici, Federica",The evolution and development of human cooperation,,,,10.1075/is.16.3.03ami,,,,2015,
X-GrSoc 4,"Anderson, J. R., Kuroshima, H., Takimoto, A., & Fujita, K. (2013). Third-party social evaluation of humans by monkeys. Nature Communications, 4, 1561. http://doi.org/10.1038/ncomms2495",database_search,no,x,,,,,,,Third-party social evaluation of humans by monkeys,,"Anderson, James R.; Kuroshima, Hika; Takimoto, Ayaka; Fujita, Kazuo",Third-party social evaluation of humans by monkeys,,,,10.1038/ncomms2495,,,,2013,
X-GrSoc 5,"Anderson, J. R., Takimoto, A., Kuroshima, H., & Fujita, K. (2013). Capuchin monkeys judge third-party reciprocity. Cognition, 127(1), 140–146. http://doi.org/10.1016/j.cognition.2012.12.007",database_search,no,x,,,,,,,Capuchin monkeys judge third-party reciprocity,,"Anderson, James R.; Takimoto, Ayaka; Kuroshima, Hika; Fujita, Kazuo",Capuchin monkeys judge third-party reciprocity,,,,10.1016/j.cognition.2012.12.007,,,,2013,
X-GrSoc 6,"Andre, J.-B., & Morin, O. (2011). Questioning the cultural evolution of altruism. Journal of Evolutionary Biology, 24(12), 2531–2542. http://doi.org/10.1111/j.1420-9101.2011.02398.x",database_search,yes,x,,,,,,,Questioning the cultural evolution of altruism,,"Andre, J.-B.; Morin, O.",Questioning the cultural evolution of altruism,,,,10.1111/j.1420-9101.2011.02398.x,,,,2011,
X-GrSoc 7,"Asai, T., Sugimori, E., & Tanno, Y. (2012). The body knows what it should do: automatic motor compensation for illusory heaviness contagion. Frontiers in Psychology, 3, 244. http://doi.org/10.3389/fpsyg.2012.00244",database_search,no,x,,,,,,,The body knows what it should do: automatic motor compensation for illusory heaviness contagion,,"Asai, Tomohisa; Sugimori, Eriko; Tanno, Yoshihiko",The body knows what it should do: automatic motor compensation for illusory heaviness contagion,,,,10.3389/fpsyg.2012.00244,,,,2012,
X-GrSoc 8,"Baillargeon, R., Scott, R. M., & He, Z. (2010). False-belief understanding in infants. Trends in Cognitive Sciences, 14(3), 110–118. http://doi.org/10.1016/j.tics.2009.12.006",database_search,no,x,,,,,,,False-belief understanding in infants,,"Baillargeon, Rene; Scott, Rose M.; He, Zijing",False-belief understanding in infants,,,,10.1016/j.tics.2009.12.006,,,,2010,
X-GrSoc 9,"Baillargeon, R., Scott, R. M., & Bian, L. (2016). Psychological Reasoning in Infancy. In S. T. Fiske (Ed.), Annual Review of Psychology, Vol 67 (Vol. 67, pp. 159–186). ",database_search,yes,x,,,,,,,Psychological Reasoning in Infancy,,"Baillargeon, Renee; Scott, Rose M.; Bian, Lin",Psychological Reasoning in Infancy,,,,,,,,2016,
