UniqueID,Bibliographical_reference,Source,Abstract_retrieved,Screening_decision,Fulltext_retrieved,Notes_fulltext_retrieved_status,Eligibility_decision,Notes_eligibility_decision,Quantitative_MA_Decision,Notes_quantitative_MA_Decision,Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers (DOI),Db,EntrezUID,Properties,Year,PubmedLink
0-HTScram,"Goren, C. C., Sarty, M., & Wu, P. Y. (1975). Visual following and pattern discrimination of face-like stimuli by newborn infants. Pediatrics, 56(4), 544–549.",original pivot study,yes,include,yes,,yes,,yes,tables of means and SD are provided,Visual following and pattern discrimination of face-like stimuli by newborn infants,http://www.ncbi.nlm.nih.gov/pubmed/1165958,"Goren, C. C.; Sarty, M.; Wu, P. Y.",Pediatrics,,,,,,,,1975,
X-HTS 1,"Acerra, F., Burnod, Y., & de Schonen, S. (2002). Modelling aspects of face processing in early infancy. Developmental Science, 5(1), 98–117. http://doi.org/10.1111/1467-7687.00215",database_search,yes,exclude,,,,,,,Modelling aspects of face processing in early infancy,,"Acerra, F.; Burnod, Y.; de Schonen, S.",Developmental Science,,,,10.1111/1467-7687.00215,,,,2002,
X-HTS 2,"Akechi, H., Stein, T., Kikuchi, Y., Tojo, Y., Osanai, H., & Hasegawa, T. (2015). Preferential awareness of protofacial stimuli in autism. Cognition, 143, 129–134. http://doi.org/10.1016/j.cognition.2015.06.016",database_search,no,exclude,,,,,,,Preferential awareness of protofacial stimuli in autism,,"Akechi, Hironori; Stein, Timo; Kikuchi, Yukiko; Tojo, Yoshikuni; Osanai, Hiroo; Hasegawa, Toshikazu",Cognition,,,,10.1016/j.cognition.2015.06.016,,,,2015,
X-HTS 3,"Ales, J. M., Farzin, F., Rossion, B., & Norcia, A. M. (2012). An objective method for measuring face detection thresholds using the sweep steady-state visual evoked response. Journal of Vision, 12(10), 18. http://doi.org/10.1167/12.10.18",database_search,yes,exclude,,,,,,,An objective method for measuring face detection thresholds using the sweep steady-state visual evoked response,,"Ales, Justin M.; Farzin, Faraz; Rossion, Bruno; Norcia, Anthony M.",Journal of Vision,,,,10.1167/12.10.18,,,,2012,
X-HTS 4,"Aslin, R. N., Shukla, M., & Emberson, L. L. (2015). Hemodynamic Correlates of Cognition in Human Infants. In S. T. Fiske (Ed.), Annual Review of Psychology, Vol 66 (Vol. 66, pp. 349–379).",database_search,yes,exclude,,,,,,,Hemodynamic Correlates of Cognition in Human Infants,,"Aslin, Richard N.; Shukla, Mohinish; Emberson, Lauren L.","Annual Review of Psychology, Vol 66",,,,,,,,2015,
X-HTS 5,"ATKINSON, J. (1984). HUMAN VISUAL DEVELOPMENT OVER THE 1ST 6 MONTHS OF LIFE - A REVIEW AND A HYPOTHESIS. Human Neurobiology, 3(2), 61–74.",database_search,no,exclude,,,,,,,HUMAN VISUAL DEVELOPMENT OVER THE 1ST 6 MONTHS OF LIFE - A REVIEW AND A HYPOTHESIS,,"ATKINSON, J.",Human Neurobiology,,,,,,,,1984,
X-HTS 6,"Aubineau, L.-H., Vandromme, L., & Le Driant, B. (2015). Joint Attention, forty years of evaluations and modelisations research. Annee Psychologique, 115(1), 141–174.",database_search,yes,exclude,,,,,,,"Joint Attention, forty years of evaluations and modelisations research",,"Aubineau, Louise-Helena; Vandromme, Luc; Le Driant, Barbara",Annee Psychologique,,,,,,,,2015,
X-HTS 7,"Avargues-Weber, A. (2012). Face Recognition: Lessons from a Wasp. Current Biology, 22(3), R91–R93. http://doi.org/10.1016/j.cub.2011.12.040",database_search,yes,exclude,,,,,,,Face Recognition: Lessons from a Wasp,,"Avargues-Weber, Aurore",Current Biology,,,,10.1016/j.cub.2011.12.040,,,,2012,
X-HTS 8,"Baars, B. J., & Gage, N. M. (2010). COGNITION, BRAIN, AND CONSCIOUSNESS Introduction to Cognitive Neuroscience Second Edition Preface. Cognition, Brain, and Consciousness: Introduction to Cognitive Neuroscience, 2nd Edition, XIII–+.",database_search,no,exclude,,,,,,,"COGNITION, BRAIN, AND CONSCIOUSNESS Introduction to Cognitive Neuroscience Second Edition Preface",,"Baars, Bernard J.; Gage, Nicole M.","Cognition, Brain, and Consciousness: Introduction to Cognitive Neuroscience, 2nd Edition",,,,,,,,2010,
X-HTS 9,"Bahrick, L. E., Gogate, L. J., & Ruiz, I. (2002). Attention and memory for faces and actions in infancy: The salience of actions over faces in dynamic events. Child Development, 73(6), 1629–1643. http://doi.org/10.1111/1467-8624.00495",database_search,yes,exclude,,,,,,,Attention and memory for faces and actions in infancy: The salience of actions over faces in dynamic events,,"Bahrick, L. E.; Gogate, L. J.; Ruiz, I.",Child Development,,,,10.1111/1467-8624.00495,,,,2002,
X-HTS 10,"Bahrick, L. E., Krogh-Jespersen, S., Argumosa, M. A., & Lopez, H. (2014). Intersensory Redundancy Hinders Face Discrimination in Preschool Children: Evidence for Visual Facilitation. Developmental Psychology, 50(2), 414–421. http://doi.org/10.1037/a0033476",database_search,yes,exclude,,,,,,,Intersensory Redundancy Hinders Face Discrimination in Preschool Children: Evidence for Visual Facilitation,,"Bahrick, Lorraine E.; Krogh-Jespersen, Sheila; Argumosa, Melissa A.; Lopez, Hassel",Developmental Psychology,,,,10.1037/a0033476,,,,2014,
X-HTS 11,"Bahrick, L. E., Lickliter, R., & Castellanos, I. (2013). The Development of Face Perception in Infancy: Intersensory Interference and Unimodal Visual Facilitation. Developmental Psychology, 49(10), 1919–1930. http://doi.org/10.1037/a0031238",database_search,yes,exclude,,,,,,,The Development of Face Perception in Infancy: Intersensory Interference and Unimodal Visual Facilitation,,"Bahrick, Lorraine E.; Lickliter, Robert; Castellanos, Irina",Developmental Psychology,,,,10.1037/a0031238,,,,2013,
X-HTS 12,"Bahrick, L. E., & Newell, L. C. (2008). Infant discrimination of faces in naturalistic events: Actions are more salient than faces. Developmental Psychology, 44(4), 983–996. http://doi.org/10.1037/0012-1649.44.4.983",database_search,yes,exclude,,,,,,,Infant discrimination of faces in naturalistic events: Actions are more salient than faces,,"Bahrick, Lorraine E.; Newell, Lisa C.",Developmental Psychology,,,,10.1037/0012-1649.44.4.983,,,,2008,
X-HTS 13,"Baird, J. A., & Saylor, M. M. (2006). Knowing others in the first year of life. Human Development, 49(6), 363–368. http://doi.org/10.1159/000096537",database_search,yes,exclude,,,,,,,Knowing others in the first year of life,,"Baird, Jodie A.; Saylor, Megan M.",Human Development,,,,10.1159/000096537,,,,2006,
