UniqueID,Bibliographical_reference,Source,Abstract_retrieved,Screening_decision,Fulltext_retrieved,Notes_fulltext_retrieved_status,Eligibility_decision,Notes_eligibility_decision,Quantitative_MA_Decision,Notes_quantitative_MA_Decision,Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers (DOI),Db,EntrezUID,Properties,Year,PubmedLink
IntAct - 0,"Gergely, G., Nádasdy, Z., Csibra, G., & Bíró, S. (1995). Taking the intentional stance at 12 months of age. Cognition, 56(2), 165–193.",original study,yes,include,yes,,include,,include,mean looking times for 3 first and 4 last test trials ; and mean dishabituation time,,http://www.sciencedirect.com/science/article/pii/001002779500661H,,,,,,,,,,,
XIntAct - 1,"Aarts, H., Gollwitzer, P. M., & Hassin, R. R. (2004). Goal contagion: Perceiving is for pursuing. Journal of Personality and Social Psychology, 87(1), 23–37. http://doi.org/10.1037/0022-3514.87.1.23",database_search,yes,x,,,,,,,Goal contagion: Perceiving is for pursuing,,"Aarts, H.; Gollwitzer, P. M.; Hassin, R. R.",Journal of Personality and Social Psychology,,,,10.1037/0022-3514.87.1.23,,,,2004,
XIntAct - 2,"Agnetta, B., & Rochat, P. (2004). Imitative games by 9-, 14-, and 18-month-old infants. Infancy, 6(1), 1–36. http://doi.org/10.1207/s15327078in0601_1",database_search,no,x,,,,,,,"Imitative games by 9-, 14-, and 18-month-old infants",,"Agnetta, B.; Rochat, P.",Infancy,,,,10.1207/s15327078in0601_1,,,,2004,
XIntAct - 3,"Ahn, W. K., & Luhmann, C. C. (2005). Demystifying theory-based categorization. (L. Gershkoff-Stowe & D. H. Rakison, Eds.).",database_search,no,x,,,,,,,Demystifying theory-based categorization,,"Ahn, W. K.; Luhmann, C. C.",,,,,,,,,2005,
XIntAct - 4,"Airenti, G. (2015). The Cognitive Bases of Anthropomorphism: From Relatedness to Empathy. International Journal of Social Robotics, 7(1), 117–127. http://doi.org/10.1007/s12369-014-0263-x",database_search,no,x,,,,,,,The Cognitive Bases of Anthropomorphism: From Relatedness to Empathy,,"Airenti, Gabriella",International Journal of Social Robotics,,,,10.1007/s12369-014-0263-x,,,,2015,
XIntAct - 5,"Anderson, J. R. (1998). Social stimuli and social rewards in primate learning and cognition. Behavioural Processes, 42(2-3), 159–175. http://doi.org/10.1016/S0376-6357(97)00074-0",database_search,yes,x,,,,,,,Social stimuli and social rewards in primate learning and cognition,,"Anderson, J. R.",Behavioural Processes,,,,10.1016/S0376-6357(97)00074-0,,,,1998,
XIntAct - 6,"Andrews, K. (2012). Do Apes Read Minds?: Toward a New Folk Psychology.",database_search,no,x,,,,,,,Do Apes Read Minds?: Toward a New Folk Psychology,,"Andrews, K.",,,,,,,,,2012,
XIntAct - 7,"Anonymous. (2004). Constraints on Conceptual Development: A case study of the Acquisition of Folkbiological and Folksociological Knowledge in Madagascar - Introduction. Monographs of the Society for Research in Child Development, 69(3), 1–+.",database_search,no,x,,,,,,,Constraints on Conceptual Development: A case study of the Acquisition of Folkbiological and Folksociological Knowledge in Madagascar - Introduction,,Anonymous,Monographs of the Society for Research in Child Development,,,,,,,,2004,
XIntAct - 8,"Arbeláez, C., Salgado-Montejo, A., & Velasco, A. C. (2010). El juego de ficción y la teoría de la mente en niños con dificultades sociales. Diversitas: Perspectivas En Psicología, 6(1), 13–25.",database_search,no,x,,,,,,,El juego de ficción y la teoría de la mente en niños con dificultades sociales,,"Arbeláez, Cristina; Salgado-Montejo, Alejandro; Velasco, Ana Cristina",Diversitas: Perspectivas en Psicología,,,,,,,,2010,
XIntAct - 9,"Aschersleben, G., Henning, A., & Daum, M. M. (2013). Discontinuities in early development of the understanding of physical causality. Cognitive Development, 28(1), 31–40. http://doi.org/10.1016/j.cogdev.2012.09.001",database_search,yes,x,,,,,,,Discontinuities in early development of the understanding of physical causality,,"Aschersleben, Gisa; Henning, Anne; Daum, Moritz M.",Cognitive Development,,,,10.1016/j.cogdev.2012.09.001,,,,2013,
