UniqueID,Bibliographical_reference,Source,Abstract_retrieved,Screening_decision,Fulltext_retrieved,Notes_fulltext_retrieved_status,Eligibility_decision,Notes_eligibility_decision,Quantitative_MA_Decision,Notes_quantitative_MA_Decision,Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers (DOI),Db,EntrezUID,Properties,Year,PubmedLink
0 - NDis,"Xu, Spelke (2000). Large number discrimination in 6-month-old infants. (n.d.). Retrieved April 13, 2016, from http://www.sciencedirect.com/science/article/pii/S0010027799000669",original study,yes,include,yes,,include,xp 1 : 1/2 ratio ; not xp 2 (2/3 ratio),include,mean and SD,,http://www.sciencedirect.com/science/article/pii/S0010027799000669,,,,,,,,,,,
XNDis - 1,"Abreu-Mendoza, R. A., & Arias-Trejo, N. (2015). Numerical and area comparison abilities in Down syndrome. Research in Developmental Disabilities, 41-42, 58–65. http://doi.org/10.1016/j.ridd.2015.05.008",database_search,no,x,,,,,,,Numerical and area comparison abilities in Down syndrome,,"Abreu-Mendoza, Roberto A.; Arias-Trejo, Natalia",Research in Developmental Disabilities,,,,10.1016/j.ridd.2015.05.008,,,,2015,
XNDis - 2,"Abreu-Mendoza, R. A., Soto-Alba, E. E., & Arias-Trejo, N. (2013). Area vs. density: influence of visual variables and cardinality knowledge in early number comparison. Frontiers in Psychology, 4, 805. http://doi.org/10.3389/fpsyg.2013.00805",database_search,yes,x,,,,,,,Area vs. density: influence of visual variables and cardinality knowledge in early number comparison,,"Abreu-Mendoza, Roberto A.; Soto-Alba, Elia E.; Arias-Trejo, Natalia",Frontiers in Psychology,,,,10.3389/fpsyg.2013.00805,,,,2013,
XNDis - 3,"Addessi, E., Crescimbene, L., & Visalberghi, E. (2008). Food and token quantity discrimination in capuchin monkeys (Cebus apella). Animal Cognition, 11(2), 275–282. http://doi.org/10.1007/s10071-007-0111-6",database_search,no,x,,,,,,,Food and token quantity discrimination in capuchin monkeys (Cebus apella),,"Addessi, Elsa; Crescimbene, Lara; Visalberghi, Elisabetta",Animal Cognition,,,,10.1007/s10071-007-0111-6,,,,2008,
XNDis - 4,"Agrillo, C., & Bisazza, A. (2014). Spontaneous versus trained numerical abilities. A comparison between the two main tools to study numerical competence in non-human animals. Journal of Neuroscience Methods, 234, 82–91. http://doi.org/10.1016/j.jneumeth.2014.04.027",database_search,no,x,,,,,,,Spontaneous versus trained numerical abilities. A comparison between the two main tools to study numerical competence in non-human animals,,"Agrillo, Christian; Bisazza, Angelo",Journal of Neuroscience Methods,,,,10.1016/j.jneumeth.2014.04.027,,,,2014,
XNDis - 5,"Agrillo, C., Dadda, M., & Bisazza, A. (2007). Quantity discrimination in female mosquitofish. Animal Cognition, 10(1), 63–70. http://doi.org/10.1007/s10071-006-0036-5",database_search,no,x,,,,,,,Quantity discrimination in female mosquitofish,,"Agrillo, Christian; Dadda, Marco; Bisazza, Angelo",Animal Cognition,,,,10.1007/s10071-006-0036-5,,,,2007,
XNDis - 6,"Agrillo, C., Dadda, M., Serena, G., & Bisazza, A. (2008). Do fish count? Spontaneous discrimination of quantity in female mosquitofish. Animal Cognition, 11(3), 495–503. http://doi.org/10.1007/s10071-008-0140-9",database_search,no,x,,,,,,,Do fish count? Spontaneous discrimination of quantity in female mosquitofish,,"Agrillo, Christian; Dadda, Marco; Serena, Giovanna; Bisazza, Angelo",Animal Cognition,,,,10.1007/s10071-008-0140-9,,,,2008,
XNDis - 7,"Agrillo, C., Dadda, M., Serena, G., & Bisazza, A. (2009). Use of Number by Fish. Plos One, 4(3), e4786. http://doi.org/10.1371/journal.pone.0004786",database_search,no,x,,,,,,,Use of Number by Fish,,"Agrillo, Christian; Dadda, Marco; Serena, Giovanna; Bisazza, Angelo",Plos One,,,,10.1371/journal.pone.0004786,,,,2009,
XNDis - 8,"Agrillo, C., Petrazzini, M. E. M., & Bisazza, A. (2014). Numerical acuity of fish is improved in the presence of moving targets, but only in the subitizing range. Animal Cognition, 17(2), 307–316. http://doi.org/10.1007/s10071-013-0663-6",database_search,no,x,,,,,,,"Numerical acuity of fish is improved in the presence of moving targets, but only in the subitizing range",,"Agrillo, Christian; Petrazzini, Maria Elena Miletto; Bisazza, Angelo",Animal Cognition,,,,10.1007/s10071-013-0663-6,,,,2014,
XNDis - 9,"Agrillo, C., Piffer, L., & Adriano, A. (2013). Individual differences in non-symbolic numerical abilities predict mathematical achievements but contradict ATOM. Behavioral and Brain Functions, 9, 26. http://doi.org/10.1186/1744-9081-9-26",database_search,yes,x,,,,,,,Individual differences in non-symbolic numerical abilities predict mathematical achievements but contradict ATOM,,"Agrillo, Christian; Piffer, Laura; Adriano, Andrea",Behavioral and Brain Functions,,,,10.1186/1744-9081-9-26,,,,2013,
