UniqueID,Bibliographical_reference,Source,Abstract_retrieved,Screening_decision,Fulltext_retrieved,Notes_fulltext_retrieved_status,Eligibility_decision,Notes_eligibility_decision,Quantitative_MA_Decision,Notes_quantitative_MA_Decision,Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers (DOI),Db,EntrezUID,Properties,Year,PubmedLink
0 - VisStats,"Kirkham, N. Z., Slemmer, J. A., & Johnson, S. P. (2002). Visual statistical learning in infancy: evidence for a domain general learning mechanism. Cognition, 83(2), B35–42.",original study,yes,include,yes,,include,xp 1 ,include,charts means and SD provided,,http://ac.els-cdn.com.gate3.inist.fr/S0010027702000045/1-s2.0-S0010027702000045-main.pdf?_tid=6f0cb15e-0177-11e6-9ecb-00000aacb360&acdnat=1460552495_f8d63bfb9332d0b653e1c2ebfc0d78f2,,,,,,,,,,,
X - VisStats 1,"Addyman, C., & Mareschal, D. (2013). Local Redundancy Governs Infants’ Spontaneous Orienting to Visual-Temporal Sequences. Child Development, 84(4), 1137–1144. http://doi.org/10.1111/cdev.12060",database_search,yes,include,yes,,exclude,no habituation / no comparison between familiar and novel pairs,,,Local Redundancy Governs Infants' Spontaneous Orienting to Visual-Temporal Sequences,http://onlinelibrary.wiley.com/doi/10.1111/cdev.12060/abstract?systemMessage=Subscribe+and+renew+is+currently+unavailable+online.+Please+contact+customer+care+to+place+an+order%3A++http%3A%2F%2Folabout.wiley.com%2FWileyCDA%2FSection%2Fid-397203.html++.Apologies+for+the+inconvenience.,"Addyman, Caspar; Mareschal, Denis",Child Development,,,,10.1111/cdev.12060,,,,2013,
X - VisStats 2,"Amso, D., Davidson, M. C., Johnson, S. P., Glover, G., & Casey, B. J. (2005). Contributions of the hippocampus and the striatum to simple association and frequency-based learning. Neuroimage, 27(2), 291–298. http://doi.org/10.1016/j.neuroimage.2005.02.035",database_search,no,x,,,,,,,Contributions of the hippocampus and the striatum to simple association and frequency-based learning,,"Amso, D.; Davidson, M. C.; Johnson, S. P.; Glover, G.; Casey, B. J.",Neuroimage,,,,10.1016/j.neuroimage.2005.02.035,,,,2005,
X - VisStats 3,"Amso, D., & Davidow, J. (2012). The development of implicit learning from infancy to adulthood: Item frequencies, relations, and cognitive flexibility. Developmental Psychobiology, 54(6), 664–673. http://doi.org/10.1002/dev.20587 ",database_search,no,x,,,,,,,"The development of implicit learning from infancy to adulthood: Item frequencies, relations, and cognitive flexibility",,"Amso, Dima; Davidow, Juliet",Developmental Psychobiology,,,,10.1002/dev.20587,,,,2012,
X - VisStats 4,"Anderson, S., & Kraus, N. (2010). Objective Neural Indices of Speech-in-Noise Perception. Trends in Amplification, 14(2), 73–83. http://doi.org/10.1177/1084713810380227",database_search,no,x,,,,,,,Objective Neural Indices of Speech-in-Noise Perception,,"Anderson, Samira; Kraus, Nina",Trends in Amplification,,,,10.1177/1084713810380227,,,,2010,
X - VisStats 5,"Arciuli, J., & Simpson, I. C. (2011). Statistical learning in typically developing children: the role of age and speed of stimulus presentation. Developmental Science, 14(3), 464–473. http://doi.org/10.1111/j.1467-7687.2009.00937.x",database_search,yes,x,,,,,,,Statistical learning in typically developing children: the role of age and speed of stimulus presentation,,"Arciuli, Joanne; Simpson, Ian C.",Developmental Science,,,,10.1111/j.1467-7687.2009.00937.x,,,,2011,
X - VisStats 6,"Arciuli, J., & Simpson, I. C. (2012). Statistical Learning Is Related to Reading Ability in Children and Adults. Cognitive Science, 36(2), 286–304. http://doi.org/10.1111/j.1551-6709.2011.01200.x",database_search,no,x,,,,,,,Statistical Learning Is Related to Reading Ability in Children and Adults,,"Arciuli, Joanne; Simpson, Ian C.",Cognitive Science,,,,10.1111/j.1551-6709.2011.01200.x,,,,2012,
X - VisStats 7,"Arciuli, J., & Torkildsen, J. von K. (2012). Advancing our understanding of the link between statistical learning and language acquisition: the need for longitudinal data. Frontiers in Psychology, 3, 324. http://doi.org/10.3389/fpsyg.2012.00324",database_search,no,x,,,,,,,Advancing our understanding of the link between statistical learning and language acquisition: the need for longitudinal data,,"Arciuli, Joanne; Torkildsen, Janne von Koss",Frontiers in Psychology,,,,10.3389/fpsyg.2012.00324,,,,2012,
X - VisStats 8,"Aslin, R. N., & Newport, E. L. (2012). Statistical Learning: From Acquiring Specific Items to Forming General Rules. Current Directions in Psychological Science, 21(3), 170–176. http://doi.org/10.1177/0963721412436806",database_search,yes,x,,,,,,,Statistical Learning: From Acquiring Specific Items to Forming General Rules,,"Aslin, Richard N.; Newport, Elissa L.",Current Directions in Psychological Science,,,,10.1177/0963721412436806,,,,2012,
X - VisStats 9,"Aslin, R. N., & Newport, E. L. (2014). Distributional Language Learning: Mechanisms and Models of Category Formation. Language Learning, 64, 86–105. http://doi.org/10.1111/lang.12074 ",database_search,no,x,,,,,,,Distributional Language Learning: Mechanisms and Models of Category Formation,,"Aslin, Richard N.; Newport, Elissa L.",Language Learning,,,,10.1111/lang.12074,,,,2014,
