UniqueID,Bibliographical_reference,Source,Abstract_retrieved,Screening_decision,Fulltext_retrieved,Notes_fulltext_retrieved_status,Eligibility_decision,Notes_eligibility_decision,Quantitative_MA_Decision,Notes_quantitative_MA_Decision,Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers (DOI),Db,EntrezUID,Properties,Year,PubmedLink
0 - WSeg,"Jusczyk, P. W., & Aslin, R. N. (1995). Infants’ detection of the sound patterns of words in fluent speech. Cognitive Psychology, 29(1), 1–23. http://doi.org/10.1006/cogp.1995.1010",original study,yes,include,yes,,include,xp 1 ; xp 2 ; not xp 3 (tests for loose matching) ; xp 4 (but order fluent / words). All mono-syl ; AmEng ; word > speech,include,charts of means and SD are provided,,http://www.sciencedirect.com/science/article/pii/S0010028585710109,,,,,,,,,,,
XWeg - 1,"Abla, D., Katahira, K., & Okanoya, K. (2008). On-fine assessment of statistical learning by event-related Potentials. Journal of Cognitive Neuroscience, 20(6), 952–964. http://doi.org/10.1162/jocn.2008.20058",database_search,no,x,,,,,,,On-fine assessment of statistical learning by event-related Potentials,,"Abla, Dilshat; Katahira, Kentaro; Okanoya, Kazuo",Journal of Cognitive Neuroscience,,,,10.1162/jocn.2008.20058,,,,2008,
XWeg - 2,"Abla, D., & Okanoya, K. (2009). Visual statistical learning of shape sequences: An ERP study. Neuroscience Research, 64(2), 185–190. http://doi.org/10.1016/j.neures.2009.02.013",database_search,no,x,,,,,,,Visual statistical learning of shape sequences: An ERP study,,"Abla, Dilshat; Okanoya, Kazuo",Neuroscience Research,,,,10.1016/j.neures.2009.02.013,,,,2009,
XWeg - 3,"Addyman, C., & Mareschal, D. (2013). Local Redundancy Governs Infants’ Spontaneous Orienting to Visual-Temporal Sequences. Child Development, 84(4), 1137–1144. http://doi.org/10.1111/cdev.12060",database_search,no,x,,,,,,,Local Redundancy Governs Infants' Spontaneous Orienting to Visual-Temporal Sequences,,"Addyman, Caspar; Mareschal, Denis",Child Development,,,,10.1111/cdev.12060,,,,2013,
XWeg - 4,"Albarran, A. F., Canto, E. A. A., & Rodriguez, A. F. (2013). Intralexic segmentation and categorization by 9-to-12-month-old Spanish learning infants. Psicologica, 34(1), 37–58.",database_search,yes,include,,,exclude,doesn't use fluent speech as fam or test,,,Intralexic segmentation and categorization by 9-to-12-month-old Spanish learning infants.,http://www.uv.es/revispsi/articulos1.13/3FALCON.pdf,"Albarran, Alberto Falcon; Canto, Elda A. Alva; Rodriguez, Antonio Franco",Psicologica,,,,,,,,2013,
XWeg - 5,"Altvater-Mackensen, N., & Mani, N. (2013). Word-form familiarity bootstraps infant speech segmentation. Developmental Science, 16(6), 980–990. http://doi.org/10.1111/desc.12071",database_search,yes,include,no,,exclude,tests for loose matching / effects of familiarity in recognizing other words,,,Word-form familiarity bootstraps infant speech segmentation,,"Altvater-Mackensen, Nicole; Mani, Nivedita",Developmental Science,,,,10.1111/desc.12071,,,,2013,
XWeg - 6,"Anonymous. (2000). What does it take to learn a word? Monographs of the Society for Research in Child Development, 65(3), 1–+.",database_search,,,,,,,,,What does it take to learn a word?,,Anonymous,Monographs of the Society for Research in Child Development,,,,,,,,2000,
XWeg - 7,"Anonymous. (2008). Influences of high and low variability on infant word recognition. Cognition, 106(2), 833–870. http://doi.org/10.1016/j.cognition.2007.05.002",database_search,yes,include,,,exclude,tests for variation of spech type (level of affect),,,Influences of high and low variability on infant word recognition,,Anonymous,Cognition,,,,10.1016/j.cognition.2007.05.002,,,,2008,
XWeg - 8,"Archer, S. L., & Curtin, S. (2011). Perceiving onset clusters in infancy. Infant Behavior & Development, 34(4), 534–540. http://doi.org/10.1016/j.infbeh.2011.07.001",database_search,yes,include,,,exclude,doesn't use fluent speech + no familiarization,,,Perceiving onset clusters in infancy,http://ac.els-cdn.com.gate3.inist.fr/S0163638311000774/1-s2.0-S0163638311000774-main.pdf?_tid=236dba0c-01b5-11e6-a693-00000aab0f26&acdnat=1460578997_17fb4fc92a183113c37365871e5c50e1,"Archer, Stephanie L.; Curtin, Suzanne",Infant Behavior & Development,,,,10.1016/j.infbeh.2011.07.001,,,,2011,
XWeg - 9,"Arunachalam, S., & Waxman, S. R. (2010). Language and conceptual development. Wiley Interdisciplinary Reviews-Cognitive Science, 1(4), 548–558. http://doi.org/10.1002/wcs.37",database_search,yes,x,,,,,,,Language and conceptual development,,"Arunachalam, Sudha; Waxman, Sandra R.",Wiley Interdisciplinary Reviews-Cognitive Science,,,,10.1002/wcs.37,,,,2010,
XWeg - 10,"Aslin, R. N. (2000). Why Take the Cog Out of Infant Cognition? Infancy, 1(4), 463–470. http://doi.org/10.1207/S15327078IN0104_6",database_search,no,x,,,,,,,Why Take the Cog Out of Infant Cognition?,,"Aslin, Richard N.",Infancy,,,,10.1207/S15327078IN0104_6,,,,2000,
